hotspot,date,gw_anomaly,n_stations
H001,2022-12-30,22.389000000000003,2
H001,2022-12-31,22.36925,2
H001,2023-01-01,22.32525,2
H001,2023-01-02,22.3715,2
H001,2023-01-03,22.34725,2
H001,2023-01-04,22.343249999999998,2
H001,2023-01-05,22.339,2
H001,2023-01-06,22.397750000000002,2
H001,2023-01-07,22.43975,2
H001,2023-01-08,22.33475,2
H001,2023-01-09,22.40775,2
H001,2023-01-10,22.4155,2
H001,2023-01-11,22.42525,2
H001,2023-01-12,22.322499999999998,2
H001,2023-01-13,22.37175,2
H001,2023-01-14,22.365000000000002,2
H001,2023-01-15,22.357,2
H001,2023-01-16,22.36675,2
H001,2023-01-17,22.4045,2
H001,2023-01-18,22.40625,2
H001,2023-01-19,22.384,2
H001,2023-01-20,22.329250000000002,2
H001,2023-01-21,22.279,2
H001,2023-01-22,22.27075,2
H001,2023-01-23,22.27,2
H001,2023-01-24,22.2775,2
H001,2023-01-25,22.322249999999997,2
H001,2023-01-26,22.284,2
H001,2023-01-27,22.28975,2
H001,2023-01-28,22.3595,2
H001,2023-01-29,22.373,2
H001,2023-01-30,22.373,2
H001,2023-01-31,22.33175,2
H001,2023-02-01,22.36475,2
H001,2023-02-02,22.351,2
H001,2023-02-03,22.31275,2
H001,2023-02-04,22.29025,2
H001,2023-02-05,22.29,2
H001,2023-02-06,22.366500000000002,2
H001,2023-02-07,22.297,2
H001,2023-02-08,22.279,2
H001,2023-02-09,22.3825,2
H001,2023-02-10,22.29075,2
H001,2023-02-11,22.27,2
H001,2023-02-12,22.34575,2
H001,2023-02-13,22.36275,2
H001,2023-02-14,22.36575,2
H001,2023-02-15,22.37,2
H001,2023-02-16,22.267,2
H001,2023-02-17,22.37425,2
H001,2023-02-18,22.3245,2
H001,2023-02-19,22.317,2
H001,2023-02-20,22.34225,2
H001,2023-02-21,22.2325,2
H001,2023-02-22,22.2285,2
H001,2023-02-23,22.2865,2
H001,2023-02-24,22.33125,2
H001,2023-02-25,22.35325,2
H001,2023-02-26,22.35125,2
H001,2023-02-27,22.235500000000002,2
H001,2023-02-28,22.27475,2
H001,2023-03-01,22.328249999999997,2
H001,2023-03-02,22.241500000000002,2
H001,2023-03-03,22.213749999999997,2
H001,2023-03-04,22.21775,2
H001,2023-03-05,22.24625,2
H001,2023-03-06,22.280749999999998,2
H001,2023-03-07,22.232999999999997,2
H001,2023-03-08,22.26725,2
H001,2023-03-09,22.1535,2
H001,2023-03-10,22.244500000000002,2
H001,2023-03-11,22.202749999999998,2
H001,2023-03-12,22.24675,2
H001,2023-03-13,22.2165,2
H001,2023-03-14,22.154,2
H001,2023-03-15,22.1575,2
H001,2023-03-16,22.19,2
H001,2023-03-17,22.13725,2
H001,2023-03-18,22.16475,2
H001,2023-03-19,22.29725,2
H001,2023-03-20,22.28725,2
H001,2023-03-21,22.2935,2
H001,2023-03-22,22.297,2
H001,2023-03-23,22.28775,2
H001,2023-03-24,22.18375,2
H001,2023-03-25,22.271,2
H001,2023-03-26,22.2735,2
H001,2023-03-27,22.207250000000002,2
H001,2023-03-28,22.2545,2
H001,2023-03-29,22.2035,2
H001,2023-03-30,22.250500000000002,2
H001,2023-03-31,22.3225,2
H001,2023-04-01,22.383,2
H001,2023-04-02,22.44675,2
H001,2023-04-03,22.42925,2
H001,2023-04-04,22.39725,2
H001,2023-04-05,22.397750000000002,2
H001,2023-04-06,22.39075,2
H001,2023-04-07,22.37175,2
H001,2023-04-08,22.3475,2
H001,2023-04-09,22.25425,2
H001,2023-04-10,22.25975,2
H001,2023-04-11,22.26225,2
H001,2023-04-12,22.3205,2
H001,2023-04-13,22.369,2
H001,2023-04-14,22.37025,2
H001,2023-04-15,22.3325,2
H001,2023-04-16,22.19025,2
H001,2023-04-17,22.25425,2
H001,2023-04-18,22.32425,2
H001,2023-04-19,22.3155,2
H001,2023-04-20,22.313,2
H001,2023-04-21,22.30075,2
H001,2023-04-22,22.2935,2
H001,2023-04-23,22.299,2
H001,2023-04-24,22.3035,2
H001,2023-04-25,22.2305,2
H001,2023-04-26,22.20325,2
H001,2023-04-27,22.2415,2
H001,2023-04-28,22.161749999999998,2
H001,2023-04-29,22.21925,2
H001,2023-04-30,22.20275,2
H001,2023-05-01,22.259,2
H001,2023-05-02,22.27375,2
H001,2023-05-03,22.155,2
H001,2023-05-04,22.309,2
H001,2023-05-05,22.36675,2
H001,2023-05-06,22.373,2
H001,2023-05-07,22.389,2
H001,2023-05-08,22.38675,2
H001,2023-05-09,22.3775,2
H001,2023-05-10,22.41475,2
H001,2023-05-11,22.356,2
H001,2023-05-12,22.3445,2
H001,2023-05-13,22.378,2
H001,2023-05-14,22.306,2
H001,2023-05-15,22.37575,2
H001,2023-05-16,22.3275,2
H001,2023-05-17,22.17775,2
H001,2023-05-18,22.282,2
H001,2023-05-19,22.354750000000003,2
H001,2023-05-20,22.3475,2
H001,2023-05-21,22.200499999999998,2
H001,2023-05-22,22.27625,2
H001,2023-05-23,22.22625,2
H001,2023-05-24,22.21125,2
H001,2023-05-25,22.2565,2
H001,2023-05-26,22.2505,2
H001,2023-05-27,22.204,2
H001,2023-05-28,22.285249999999998,2
H001,2023-05-29,22.328000000000003,2
H001,2023-05-30,22.3475,2
H001,2023-05-31,22.299500000000002,2
H001,2023-06-01,22.295,2
H001,2023-06-02,22.29725,2
H001,2023-06-03,22.314249999999998,2
H001,2023-06-04,22.23225,2
H001,2023-06-05,22.2845,2
H001,2023-06-06,22.30875,2
H001,2023-06-07,22.3065,2
H001,2023-06-08,22.19,2
H001,2023-06-09,22.2425,2
H001,2023-06-10,22.251,2
H001,2023-06-11,22.23425,2
H001,2023-06-12,22.126,2
H001,2023-06-13,22.122,2
H001,2023-06-14,22.179499999999997,2
H001,2023-06-15,22.24625,2
H001,2023-06-16,22.136,2
H001,2023-06-17,22.142,2
H001,2023-06-18,22.0995,2
H001,2023-06-19,22.12825,2
H001,2023-06-20,22.137249999999998,2
H001,2023-06-21,22.177999999999997,2
H001,2023-06-22,22.249,2
H001,2023-06-23,22.272750000000002,2
H001,2023-06-24,22.296,2
H001,2023-06-25,22.33475,2
H001,2023-06-26,22.42025,2
H001,2023-06-27,22.457749999999997,2
H001,2023-06-28,22.51325,2
H001,2023-06-29,22.48,2
H001,2023-06-30,22.336,2
H001,2023-07-01,22.43125,2
H001,2023-07-02,22.44725,2
H001,2023-07-03,22.4745,2
H001,2023-07-04,22.46625,2
H001,2023-07-05,22.488249999999997,2
H001,2023-07-06,22.524250000000002,2
H001,2023-07-07,22.49225,2
H001,2023-07-08,22.5015,2
H001,2023-07-09,22.51275,2
H001,2023-07-10,22.603250000000003,2
H001,2023-07-11,22.48825,2
H001,2023-07-12,22.562250000000002,2
H001,2023-07-13,22.62425,2
H001,2023-07-14,22.629,2
H001,2023-07-15,22.63475,2
H001,2023-07-16,22.63625,2
H001,2023-07-17,22.62125,2
H001,2023-07-18,22.484750000000002,2
H001,2023-07-19,22.60225,2
H001,2023-07-20,22.62,2
H001,2023-07-21,22.62125,2
H001,2023-07-22,22.598,2
H001,2023-07-23,22.60275,2
H001,2023-07-24,22.628,2
H001,2023-07-25,22.61075,2
H001,2023-07-26,22.649,2
H001,2023-07-27,22.7255,2
H001,2023-07-28,22.729,2
H001,2023-07-29,22.771250000000002,2
H001,2023-07-30,22.84475,2
H001,2023-07-31,,1
H001,2023-08-02,22.82975,2
H001,2023-08-03,22.82625,2
H001,2023-08-04,22.79175,2
H001,2023-08-05,22.790999999999997,2
H001,2023-08-06,22.82625,2
H001,2023-08-07,22.85725,2
H001,2023-08-08,22.8295,2
H001,2023-08-09,22.76525,2
H001,2023-08-10,22.811500000000002,2
H001,2023-08-11,22.80975,2
H001,2023-08-12,22.804750000000002,2
H001,2023-08-13,22.789749999999998,2
H001,2023-08-14,22.822499999999998,2
H001,2023-08-15,22.75125,2
H001,2023-08-16,22.802,2
H001,2023-08-17,22.80425,2
H001,2023-08-18,22.801750000000002,2
H001,2023-08-19,22.79525,2
H001,2023-08-20,22.747,2
H001,2023-08-21,22.76,2
H001,2023-08-22,22.75675,2
H001,2023-08-23,22.6905,2
H001,2023-08-24,22.72325,2
H001,2023-08-25,22.777,2
H001,2023-08-26,22.7285,2
H001,2023-08-27,22.68375,2
H001,2023-08-28,22.720000000000002,2
H001,2023-08-29,22.716250000000002,2
H001,2023-08-30,22.716,2
H001,2023-08-31,22.715,2
H001,2023-09-01,,1
H001,2023-09-02,,1
H001,2023-09-04,,1
H001,2023-09-05,22.65175,2
H001,2023-09-06,22.69725,2
H001,2023-09-07,22.67275,2
H001,2023-09-08,22.71575,2
H001,2023-09-09,22.725,2
H001,2023-09-10,22.73275,2
H001,2023-09-11,22.81025,2
H001,2023-09-12,22.78575,2
H001,2023-09-13,22.747,2
H001,2023-09-14,22.75175,2
H001,2023-09-15,22.7435,2
H001,2023-09-16,22.73675,2
H001,2023-09-17,22.74425,2
H001,2023-09-18,22.78325,2
H001,2023-09-19,22.7745,2
H001,2023-09-20,22.7345,2
H001,2023-09-21,0.5437499999999997,2
H001,2023-09-22,0.5337499999999991,2
H001,2023-09-23,0.5124999999999993,2
H001,2023-09-24,0.525749999999999,2
H001,2023-09-25,0.5252499999999989,2
H001,2023-09-26,0.5137499999999988,2
H001,2023-09-27,0.4879999999999989,2
H001,2023-09-28,0.5047499999999998,2
H001,2023-09-29,0.5177499999999997,2
H001,2023-09-30,0.516999999999999,2
H001,2023-10-01,0.49299999999999966,2
H001,2023-10-02,0.44550000000000045,2
H001,2023-10-03,0.44249999999999945,2
H001,2023-10-04,0.4452499999999997,2
H001,2023-10-05,0.4142499999999987,2
H001,2023-10-06,0.39074999999999926,2
H001,2023-10-07,0.3757499999999996,2
H001,2023-10-08,0.40474999999999994,2
H001,2023-10-09,0.3687499999999999,2
H001,2023-10-10,0.3279999999999996,2
H001,2023-10-13,0.3407499999999999,2
H001,2023-10-14,0.32399999999999984,2
H001,2023-10-15,0.321500000000001,2
H001,2023-10-16,0.3117499999999982,2
H001,2023-10-17,0.293499999999999,2
H001,2023-10-18,0.3025000000000002,2
H001,2023-10-19,0.3077499999999995,2
H001,2023-10-20,0.3162499999999997,2
H001,2023-10-21,,1
H001,2023-10-22,0.30774999999999975,2
H001,2023-10-23,,1
H001,2023-10-24,0.3137499999999993,2
H001,2023-10-25,,1
H001,2023-10-26,0.22374999999999945,2
H001,2023-10-27,0.23824999999999985,2
H001,2023-10-28,0.23149999999999893,2
H001,2023-10-29,0.2172499999999995,2
H001,2023-10-30,0.17349999999999843,2
H001,2023-10-31,0.16799999999999882,2
H001,2023-11-01,0.18175000000000052,2
H001,2023-11-02,0.1562500000000009,2
H001,2023-11-03,0.15900000000000047,2
H001,2023-11-04,0.14575000000000005,2
H001,2023-11-05,0.14324999999999788,2
H001,2023-11-06,0.10925000000000074,2
H001,2023-11-07,0.12899999999999912,2
H001,2023-11-08,0.13149999999999973,2
H001,2023-11-09,0.1302499999999993,2
H001,2023-11-10,0.11499999999999955,2
H001,2023-11-11,0.10074999999999901,2
H001,2023-11-12,0.11074999999999857,2
H001,2023-11-13,0.1132500000000003,2
H001,2023-11-14,0.08624999999999794,2
H001,2023-11-15,0.08274999999999944,2
H001,2023-11-16,0.09724999999999873,2
H001,2023-11-17,,1
H001,2023-11-18,,1
H001,2023-11-19,,1
H001,2023-11-20,0.07699999999999929,2
H001,2023-11-21,0.06674999999999986,2
H001,2023-11-22,0.05425000000000013,2
H001,2023-11-23,0.05625000000000013,2
H001,2023-11-24,0.08625000000000016,2
H001,2023-11-25,0.07349999999999968,2
H001,2023-11-26,0.05849999999999911,2
H001,2023-11-27,0.05699999999999905,2
H001,2023-11-28,0.05174999999999952,2
H001,2023-11-29,0.036000000000000476,2
H001,2023-11-30,0.0524999999999991,2
H001,2023-12-01,0.05075000000000074,2
H001,2023-12-02,0.04574999999999907,2
H001,2023-12-03,0.09450000000000092,2
H001,2023-12-04,0.035499999999999865,2
H001,2023-12-05,0.04599999999999893,2
H001,2023-12-06,0.056499999999998884,2
H001,2023-12-07,0.036000000000000254,2
H001,2023-12-08,0.05549999999999855,2
H001,2023-12-09,0.06624999999999837,2
H001,2023-12-10,0.058000000000000274,2
H001,2023-12-11,0.03999999999999959,2
H001,2023-12-12,0.040499999999999314,2
H001,2023-12-13,0.03274999999999895,2
H001,2023-12-14,0.020249999999999435,2
H001,2023-12-15,0.0255000000000003,2
H001,2023-12-16,0.022999999999999465,2
H001,2023-12-17,0.021500000000000075,2
H001,2023-12-18,0.01524999999999821,2
H001,2023-12-19,-0.012749999999999595,2
H001,2023-12-20,-0.014250000000000096,2
H001,2023-12-21,-0.021750000000001712,2
H001,2023-12-22,-0.020250000000000323,2
H001,2023-12-23,-0.02400000000000002,2
H001,2023-12-24,-0.0485000000000011,2
H001,2023-12-25,-0.05250000000000066,2
H001,2023-12-26,-0.04525000000000157,2
H001,2023-12-27,-0.05499999999999927,2
H001,2023-12-28,-0.02725000000000044,2
H001,2023-12-29,-0.01650000000000107,2
H001,2023-12-30,-0.01850000000000085,2
H001,2023-12-31,-0.021500000000000075,2
H001,2024-01-01,-0.03200000000000047,2
H001,2024-01-02,-0.036500000000001975,2
H001,2024-01-03,-0.042500000000000426,2
H001,2024-01-04,-0.04800000000000004,2
H001,2024-01-05,-0.05175000000000152,2
H001,2024-01-06,-0.048999999999999044,2
H001,2024-01-07,-0.049750000000000405,2
H001,2024-01-08,-0.061500000000000776,2
H001,2024-01-09,-0.06125000000000025,2
H001,2024-01-10,-0.02775000000000105,2
H001,2024-01-11,-0.03300000000000014,2
H001,2024-01-12,-0.04849999999999932,2
H001,2024-01-13,-0.0884999999999998,2
H001,2024-01-14,-0.09524999999999983,2
H001,2024-01-15,-0.0955000000000008,2
H001,2024-01-16,-0.07650000000000068,2
H001,2024-01-17,-0.09800000000000009,2
H001,2024-01-18,-0.11599999999999921,2
H001,2024-01-19,-0.1297499999999996,2
H001,2024-01-20,-0.1347500000000008,2
H001,2024-01-21,-0.13575000000000115,2
H001,2024-01-22,-0.13949999999999996,2
H001,2024-01-23,-0.1395000000000004,2
H001,2024-01-24,-0.13349999999999973,2
H001,2024-01-25,-0.15125000000000144,2
H001,2024-01-26,-0.1562500000000009,2
H001,2024-01-27,-0.1530000000000009,2
H001,2024-01-28,-0.1402500000000011,2
H001,2024-01-29,-0.1435000000000004,2
H001,2024-01-30,-0.13800000000000034,2
H001,2024-01-31,-0.13525000000000098,2
H001,2024-02-01,-0.10825000000000085,2
H001,2024-02-02,-0.14300000000000135,2
H001,2024-02-03,-0.08974999999999955,2
H001,2024-02-04,0.0060000000000006715,2
H001,2024-02-05,-0.0005000000000006111,2
H001,2024-02-06,-0.03525000000000067,2
H001,2024-02-07,-0.026750000000001162,2
H001,2024-02-08,-0.013750000000000817,2
H001,2024-02-09,-0.011750000000000593,2
H001,2024-02-10,-0.01775000000000193,2
H001,2024-02-11,-0.04449999999999976,2
H001,2024-02-12,-0.056750000000000966,2
H001,2024-02-13,-0.07050000000000112,2
H001,2024-02-14,-0.0865000000000018,2
H001,2024-02-15,-0.10575000000000134,2
H001,2024-02-16,-0.08575000000000088,2
H001,2024-02-17,-0.13550000000000173,2
H001,2024-02-18,-0.09775,2
H001,2024-02-19,-0.09200000000000053,2
H001,2024-02-20,-0.0677500000000002,2
H001,2024-02-21,-0.06500000000000017,2
H001,2024-02-22,-0.08574999999999955,2
H001,2024-02-23,-0.1280000000000019,2
H001,2024-02-24,-0.13375000000000004,2
H001,2024-02-25,-0.15600000000000103,2
H001,2024-02-26,-0.1615000000000011,2
H001,2024-02-27,-0.15550000000000108,2
H001,2024-02-28,-0.14674999999999971,2
H001,2024-02-29,-0.13750000000000173,2
H001,2024-03-01,-0.14400000000000168,2
H001,2024-03-02,-0.1242500000000002,2
H001,2024-03-03,-0.10674999999999968,2
H001,2024-03-04,-0.13599999999999923,2
H001,2024-03-05,-0.16650000000000098,2
H001,2024-03-06,-0.13175000000000026,2
H001,2024-03-07,-0.12300000000000089,2
H001,2024-03-08,-0.17524999999999924,2
H001,2024-03-09,-0.22675000000000134,2
H001,2024-03-10,-0.23225000000000118,2
H001,2024-03-11,-0.27625000000000055,2
H001,2024-03-12,-0.29499999999999926,2
H001,2024-03-13,-0.2942500000000008,2
H001,2024-03-14,-0.2947499999999992,2
H001,2024-03-15,-0.23674999999999935,2
H001,2024-03-16,-0.1940000000000004,2
H001,2024-03-17,-0.2060000000000004,2
H001,2024-03-18,-0.20700000000000074,2
H001,2024-03-19,-0.20774999999999988,2
H001,2024-03-20,-0.22350000000000048,2
H001,2024-03-21,-0.24075000000000113,2
H001,2024-03-22,-0.25924999999999954,2
H001,2024-03-23,-0.27975000000000017,2
H001,2024-03-24,-0.2982500000000021,2
H001,2024-03-25,-0.33850000000000136,2
H001,2024-03-26,-0.3072500000000007,2
H001,2024-03-27,-0.3190000000000004,2
H001,2024-03-28,-0.3365000000000018,2
H001,2024-03-29,-0.3332500000000005,2
H001,2024-03-30,-0.34699999999999975,2
H001,2024-03-31,-0.3767499999999999,2
H001,2024-04-01,-0.3647500000000006,2
H001,2024-04-02,-0.358750000000001,2
H001,2024-04-03,-0.36375000000000046,2
H001,2024-04-04,-0.35375,2
H001,2024-04-05,-0.34400000000000164,2
H001,2024-04-06,-0.3475000000000006,2
H001,2024-04-07,-0.3660000000000001,2
H001,2024-04-08,-0.38700000000000023,2
H001,2024-04-09,-0.39849999999999985,2
H001,2024-04-10,-0.4379999999999997,2
H001,2024-04-11,-0.4700000000000015,2
H001,2024-04-12,-0.5545000000000018,2
H001,2024-04-13,-0.4902500000000005,2
H001,2024-04-14,-0.48775000000000013,2
H001,2024-04-15,-0.4807500000000007,2
H001,2024-04-16,-0.4684999999999997,2
H001,2024-04-17,-0.4795000000000007,2
H001,2024-04-18,-0.47975000000000056,2
H001,2024-04-19,-0.4692499999999997,2
H001,2024-04-20,-0.4722500000000003,2
H001,2024-04-21,-0.5022500000000005,2
H001,2024-04-22,-0.47625000000000095,2
H001,2024-04-23,-0.4707500000000018,2
H001,2024-04-24,-0.48399999999999954,2
H001,2024-04-25,-0.48875000000000024,2
H001,2024-04-26,-0.5107500000000011,2
H001,2024-04-27,-0.5185000000000008,2
H001,2024-04-28,-0.5197500000000002,2
H001,2024-04-29,-0.5337500000000006,2
H001,2024-04-30,-0.5505000000000013,2
H001,2024-05-01,-0.5810000000000013,2
H001,2024-05-02,-0.5962500000000008,2
H001,2024-05-03,-0.6339999999999995,2
H001,2024-05-04,-0.6472500000000014,2
H001,2024-05-05,-0.6277500000000016,2
H001,2024-05-06,-0.6365000000000007,2
H001,2024-05-07,-0.6647500000000006,2
H001,2024-05-08,-0.6702500000000002,2
H001,2024-05-09,-0.6692500000000017,2
H001,2024-05-10,-0.6775000000000002,2
H001,2024-05-11,-0.695250000000001,2
H001,2024-05-12,-0.6914999999999996,2
H001,2024-05-13,-0.7047499999999998,2
H001,2024-05-14,-0.7125000000000012,2
H001,2024-05-15,-0.7164999999999999,2
H001,2024-05-16,-0.7222500000000016,2
H001,2024-05-17,-0.7090000000000005,2
H001,2024-05-18,-0.6892500000000008,2
H001,2024-05-19,-0.6944999999999997,2
H001,2024-05-20,-0.7430000000000017,2
H001,2024-05-21,-0.7697500000000002,2
H001,2024-05-22,-0.7742499999999994,2
H001,2024-05-23,-0.7777500000000019,2
H001,2024-05-24,-0.7870000000000008,2
H001,2024-05-25,-0.7947499999999996,2
H001,2024-05-26,-0.8145000000000007,2
H001,2024-05-27,-0.8097500000000002,2
H001,2024-05-28,-0.7945000000000011,2
H001,2024-05-29,-0.830750000000001,2
H001,2024-05-30,-0.8567499999999995,2
H001,2024-05-31,-0.8587499999999997,2
H001,2024-06-01,-0.8635000000000002,2
H001,2024-06-02,-0.8767500000000008,2
H001,2024-06-03,-0.8855000000000004,2
H001,2024-06-04,-0.8772500000000001,2
H001,2024-06-05,-0.8820000000000014,2
H001,2024-06-06,-0.9015000000000004,2
H001,2024-06-07,-0.8990000000000018,2
H001,2024-06-08,-0.8937500000000007,2
H001,2024-06-09,-0.8992500000000012,2
H001,2024-06-10,-0.8950000000000009,2
H001,2024-06-11,-0.902750000000001,2
H001,2024-06-12,-0.9079999999999999,2
H001,2024-06-13,-0.9202500000000011,2
H001,2024-06-14,-0.9417500000000016,2
H001,2024-06-15,-0.9707500000000016,2
H001,2024-06-16,-0.9227499999999997,2
H001,2024-06-17,,1
H001,2024-06-18,-0.9535,2
H001,2024-06-19,-0.9740000000000011,2
H001,2024-06-20,-1.019499999999999,2
H001,2024-06-21,-0.972500000000001,2
H001,2024-06-22,-0.9690000000000012,2
H001,2024-06-23,-0.9770000000000003,2
H001,2024-06-24,-0.9542500000000009,2
H001,2024-06-25,-0.9820000000000002,2
H001,2024-06-26,-1.0170000000000012,2
H001,2024-06-27,,1
H001,2024-06-28,-1.0307500000000003,2
H001,2024-06-29,-0.9672500000000017,2
H001,2024-06-30,-0.8872500000000008,2
H001,2024-07-01,-0.8512500000000012,2
H001,2024-07-02,-0.8374999999999995,2
H001,2024-07-03,-0.8470000000000004,2
H001,2024-07-04,,1
H001,2024-07-05,-0.8032499999999994,2
H001,2024-07-06,-0.8172500000000005,2
H001,2024-07-07,-0.8452500000000005,2
H001,2024-07-08,-0.8447500000000012,2
H001,2024-07-09,-0.8537500000000007,2
H001,2024-07-10,-0.8472500000000012,2
H001,2024-07-11,-0.8202500000000001,2
H001,2024-07-12,-0.8237500000000004,2
H001,2024-07-13,-0.8387500000000001,2
H001,2024-07-14,-0.830750000000001,2
H001,2024-07-15,-0.8425000000000002,2
H001,2024-07-16,-0.8432500000000012,2
H001,2024-07-17,-0.8447500000000012,2
H001,2024-07-18,-0.8389999999999995,2
H001,2024-07-19,-0.8274999999999997,2
H001,2024-07-20,-0.8272500000000007,2
H001,2024-07-21,-0.8247500000000008,2
H001,2024-07-22,-0.8497499999999993,2
H001,2024-07-23,-0.8482500000000002,2
H001,2024-07-24,-0.8057500000000011,2
H001,2024-07-25,,1
H001,2024-07-26,-0.7832500000000007,2
H001,2024-07-27,-0.7942499999999999,2
H001,2024-07-28,-0.8202500000000006,2
H001,2024-07-29,-0.8549999999999995,2
H001,2024-07-30,-0.8904999999999994,2
H001,2024-07-31,-0.8650000000000002,2
H001,2024-10-18,,1
H001,2024-10-19,0.4159999999999999,2
H001,2024-10-20,,1
H001,2024-10-21,0.3894999999999986,2
H001,2024-10-22,,1
H001,2024-10-23,0.4137499999999994,2
H001,2024-10-24,0.2989999999999995,2
H001,2024-10-25,0.2979999999999987,2
H001,2024-10-26,0.2777499999999995,2
H001,2024-10-27,,1
H001,2024-10-28,,1
H001,2024-10-29,0.25824999999999965,2
H001,2024-10-30,0.29300000000000037,2
H001,2024-10-31,0.24474999999999913,2
H001,2024-11-01,0.17674999999999885,2
H001,2024-11-02,0.14825,2
H001,2024-11-03,0.17524999999999968,2
H001,2024-11-04,,1
H001,2024-11-05,0.1447499999999997,2
H001,2024-11-06,,1
H001,2024-11-07,0.13925000000000076,2
H001,2024-11-08,0.1639999999999988,2
H001,2024-11-09,0.16599999999999948,2
H001,2024-11-10,0.1327499999999986,2
